term
bone
BM-hMSCs
hBMSCs
hBMMSCs
Bone marrow-derived human mesenchymal stem cells (hMSCs) (from a 26-year-old female
BM-hMSCs used in this study were purchased from RoosterBio
"we use hBMSCs and culture medium from RoosterBio"
"Human bone marrow mesenchymal stem cells (hBMMSCs; RoosterBio, USA)"
"Bone marrow-derived human mesenchymal stem cells (hMSCs)"
"Bone-marrow derived mesenchymal stem cells (MSCs) (n=4 donors) were purchased \nfrom Roosterbio"
"Human BM-derived MSCs were acquired as a cryopreserved passage two product from \nRoosterBio"
"Human bone marrow-derived mesenchymal stem cells (MSC, RoosterBio, Frederick MD)"
"bone marrow-derived mesenchymal stem cells (MSCs) were obtained from \nRoosterBio"
"bm-hMSCs were expanded using RoosterBio high-volume \ncell culture kits and cells"
"Human bone marrow\u2013derived MSCs passage 1 were obtained from Rooster Bio Inc"
"human BM-MSCs obtained from RoosterBio"
"Human bone marrow-derived mesenchymal stem cells purchased from RoosterBio"
"Human mesenchymal stem cells (hMSCs) from the bone marrow of one donor (19 years \nold, male; Rooster Bio)"
"Bone marrow-derived mesenchymal stromal cells (MSCs, RoosterBio)"
"Human bone marrow-derived mesenchymal stem cells (hMSCs, RoosterBio Inc., MD, USA)"
"BM-MSCs were purchased from Rooster Bio"
