term
RoosterBio cell-line
human MSCs from Rooster Bio
Bone-marrow derived mesenchymal stem cells (MSCs) (n=4 donors) were purchased \nfrom Roosterbio
"Human bone marrow-derived mesenchymal stem cells (MSC, RoosterBio, Frederick MD)"
Well-characterized adipose stem cells
"Human adipose-derived mesenchymal stem cells (HADMSC, RoosterBio)"
hMSCs (Rooster Bio \u00ae) were cultured in
"The obtained cells were cultured as monolayers in commercially available medium RoosterBasalTM-MSC (RoosterBio, Frederick, MD, USA)"
"RoosterBio cell-line RB9 was expanded using RoosterBio"
BM-hMSCs used in this study were purchased from RoosterBio
"we use hBMSCs and culture medium from RoosterBio"
"Human bone marrow mesenchymal stem cells (hBMMSCs; RoosterBio, USA)"
"Bone marrow-derived human mesenchymal stem cells (hMSCs)"
"human MSCs from Rooster Bio"
"Bone-marrow derived mesenchymal stem cells (MSCs) (n=4 donors) were purchased \nfrom Roosterbio"
"Human BM-derived MSCs were acquired as a cryopreserved passage two product from \nRoosterBio"
"Human bone marrow-derived mesenchymal stem cells (MSC, RoosterBio, Frederick MD)"
"RoosterBio cell lines were"
"bone marrow-derived mesenchymal stem cells (MSCs) were obtained from \nRoosterBio"
"bm-hMSCs were expanded using RoosterBio high-volume \ncell culture kits and cells"
"Human adipose-derived mesenchymal stem cells (HADMSC, RoosterBio)"
"hMSCs (Rooster Bio \u00ae) were cultured"
"were obtained from a commercial vendor (RoosterBio)"
"Human bone marrow\u2013derived MSCs passage 1 were obtained from Rooster Bio Inc"
"human BM-MSCs obtained from RoosterBio"
"Human bone marrow-derived mesenchymal stem cells purchased from RoosterBio"
"AD-MSCs from female donors were purchased from RoosterBio (Frederick, MD)"
"Human mesenchymal stem cells (hMSCs) (RoosterBio, Inc.) "
"MSC samples were obtained from RoosterBio"
"Human mesenchymal stem cells (hMSCs) from the bone marrow of one donor (19 years \nold, male; Rooster Bio)"
"Bone marrow-derived mesenchymal stromal cells (MSCs, RoosterBio)"
"Human bone marrow-derived mesenchymal stem cells (hMSCs, RoosterBio Inc., MD, USA)"
"We thank RoosterBio for providing hMSCs and growth media"
"BM-MSCs were purchased from Rooster Bio"
"A vial of hMSCs (Roosterbio, US)"
"Human umbilical cord (UC)-derived MSCs and their specific culture media were purchased \nfrom RoosterBio Inc. (Frederick, MD, USA)"
