term
umbilical cord
hUC- MSCs
hUC-MSCs
hUCMSCs
hUC- MSCs were cultured and harvested following RoosterBio
"Human umbilical cord (UC)-derived MSCs and their specific culture media were purchased \nfrom RoosterBio Inc. (Frederick, MD, USA)"
hUC- MSCs
